,Players,Salary
521,Troy Williams\willitr02,$122741
522,Stanley Johnson\johnsst04,$888616
523,Stanley Johnson\johnsst04,$888616
524,Stanley Johnson\johnsst04,$888616
525,Stanley Johnson\johnsst04,$888616
526,Marquese Chriss\chrisma01,$958529
527,Marquese Chriss\chrisma01,$958529
528,Marquese Chriss\chrisma01,$958529
529,Danuel House Jr.\houseda01,$2045094
530,Danuel House Jr.\houseda01,$2045094
531,Danuel House Jr.\houseda01,$2045094
532,Danuel House Jr.\houseda01,$2045094
533,Nik Stauskas\stausni01,
534,Ryan Arcidiacono\arcidry01,$586136
535,Ryan Arcidiacono\arcidry01,$586136
536,Luke Kornet\kornelu01,$606702
537,Luke Kornet\kornelu01,$606702
538,Alfonzo McKinnie\mckinal01,$1090007
539,Alfonzo McKinnie\mckinal01,$1090007
540,Jabari Parker\parkeja01,$1068288
541,Devin Cannady\cannade01,$100000
542,Drew Eubanks\eubandr01,$1762796
543,Drew Eubanks\eubandr01,$1762796
544,Drew Eubanks\eubandr01,$1762796
545,Drew Eubanks\eubandr01,$1762796
546,Drew Eubanks\eubandr01,$1762796
547,Alize Johnson\johnsal02,$705598
548,Alize Johnson\johnsal02,$705598
549,Wenyen Gabriel\gabriwe01,$29814
550,Wenyen Gabriel\gabriwe01,$29814
551,Theo Pinson\pinsoth01,
552,Brad Wanamaker\wanambr01,$705598
553,Alize Johnson\johnsal02,$705598
554,Wenyen Gabriel\gabriwe01,$29814
555,Brandon Goodwin\goodwbr01,
556,Wenyen Gabriel\gabriwe01,$29814
557,Theo Pinson\pinsoth01,
558,Davon Reed\reedda01,
559,Davon Reed\reedda01,
560,Moses Brown\brownmo01,$1720779
561,Moses Brown\brownmo01,$1720779
562,Kelan Martin\martike03,
563,Kelan Martin\martike03,
564,Juwan Morgan\morgaju01,$19186
565,Juwan Morgan\morgaju01,$19186
566,Charlie Brown Jr.\brownch02,
567,Miye Oni\onimi01,$850331
568,Jared Harper\harpeja01,
569,Rayjon Tucker\tuckera01,$28779
570,Quinndary Weatherspoon\weathqu01,
571,Rayjon Tucker\tuckera01,$28779
572,Charlie Brown Jr.\brownch02,
573,Davon Reed\reedda01,
574,Demetrius Jackson\jacksde01,$92857
575,Haywood Highsmith\highsha01,$290967
576,Haywood Highsmith\highsha01,$290967
577,Haywood Highsmith\highsha01,$290967
578,Malik Fitts\fittsma01,$231062
579,Malik Fitts\fittsma01,$231062
580,Armoni Brooks\brookar01,$1625991
581,Armoni Brooks\brookar01,$1625991
582,Devin Cannady\cannade01,$100000
583,Admiral Schofield\schofad01,
584,Anthony Lamb\lamban01,
585,Tyrell Terry\terryty01,$1517981
586,Nate Hinton\hintona01,
587,Admiral Schofield\schofad01,
588,Carsen Edwards\edwarca01,$76744
589,RJ Nembhard Jr.\nembhrj01,$58493
590,Greg Monroe\monrogr01,$55208
591,Xavier Moon\moonxa01,
592,Xavier Moon\moonxa01,
593,Xavier Moon\moonxa01,
594,Mac McClung\mccluma01,
595,Mac McClung\mccluma01,
596,Jordan Schakel\schakjo01,
597,Brandon Williams\willibr03,
598,Braxton Key\keybr01,
599,Georgios Kalaitzakis\kalaige01,$462629
600,Feron Hunt\huntfe01,
601,Xavier Sneed\sneedxa01,
602,Moses Wright\wrighmo01,
603,Braxton Key\keybr01,
604,Malcolm Hill\hillma01,
605,Chaundee Brown Jr.\brownch05,
606,Malcolm Hill\hillma01,
607,Luca Vildoza\vildolu01,$51347
608,Skylar Mays\mayssk01,$34231
609,Wenyen Gabriel\gabriwe01,$29814
610,Rayjon Tucker\tuckera01,$28779
611,Terry Taylor\taylote01,$21270
612,Duane Washington Jr.\washidu02,$21270
613,Moses Brown\brownmo01,$1720779
614,Juwan Morgan\morgaju01,$19186
615,Trent Forrest\forretr01,$8558
616,Ish Wainright\wainris01,$8558
617,Kessler Edwards\edwarke02,$5318
