,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
580,1629139,Yuta Watanabe,Raptors
582,1630322,Lindy Waters III,Thunder
583,1630570,Trendon Watford,Trail Blazers
585,1629683,Quinndary Weatherspoon,Warriors
586,201566,Russell Westbrook,Lakers
587,1629632,Coby White,Bulls
588,1628401,Derrick White,Celtics
589,202355,Hassan Whiteside,Jazz
590,1630580,Joe Wieskamp,Spurs
591,1630598,Aaron Wiggins,Thunder
592,203952,Andrew Wiggins,Warriors
593,1629623,Lindell Wigginton,Bucks
594,1630314,Brandon Williams,Trail Blazers
595,1629684,Grant Williams,Celtics
596,1629026,Kenrich Williams,Thunder
597,101150,Lou Williams,Hawks
598,1630172,Patrick Williams,Bulls
599,1630533,Ziaire Williams,Grizzlies
600,1629057,Robert Williams III,Celtics
601,1629627,Zion Williamson,Pelicans
603,1629685,Dylan Windler,Cavaliers
604,1626159,Justise Winslow,Trail Blazers
605,1630216,Cassius Winston,Wizards
606,1630164,James Wiseman,Warriors
607,1626174,Christian Wood,Rockets
608,1630218,Robert Woodard II,Spurs
609,1626153,Delon Wright,Hawks
610,1630589,Moses Wright,Mavericks
611,1630593,McKinley Wright IV,Timberwolves
612,1628221,Gabe York,Pacers
613,201152,Thaddeus Young,Raptors
614,1629027,Trae Young,Hawks
615,1630209,Omer Yurtseven,Heat
617,1627826,Ivica Zubac,Clippers
